Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,match_code_OPM,OPM_Step,Source_Title,Narr1,Narr2,Narr3,Disp_next1,Disp_next2,Disp_next3,UAP Label,UAP url,start_here,Mismatch,Entity,Function,SubEntity,SOP_id,SOP_path
SE_SLS_Ord2Pick_251121_1354.pptx,1,| S000. Opening Slide for Sales Order to Pick  Slide deck,S000. Opening Slide for Sales Order to Pick Slide deck,S000,Opening Slide for Sales Order to Pick Slide deck,S000.png,,S001,,,,,this deck of slides or pictures is the quote to order process which is part of quote to cash Work Flow ,this deck of slides or pictures is the quote to order process which is part of quote to cash Work Flow ,this deck of slides or pictures is the quote to order process which is part of quote to cash Work Flow ,About Scott Electric and Welcome to Training,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,2,S001. About Scott Electric and Welcome to Training,S001. About Scott Electric and Welcome to Training,S001,About Scott Electric and Welcome to Training,S001.png,,S002,,,,,"Scott Electric is a leading independent wholesale electrical distributor, serving electrical, mechanical, and general contractors, industrial customers, government agencies, and retail partners.","Scott Electric is a leading independent wholesale electrical distributor, serving electrical, mechanical, and general contractors, industrial customers, government agencies, and retail partners.","Scott Electric is a leading independent wholesale electrical distributor, serving electrical, mechanical, and general contractors, industrial customers, government agencies, and retail partners. The company provides a broad range of electrical products, lighting, tools, and related services to support both day-to-day operations and long-term projects.

Welcome to the Scott Electric Training SiteWelcome to the Scott Electric Training Site. This platform is designed to help you build the knowledge and skills needed to support our customers safely, accurately, and efficiently. Here you will find guided learning, reference materials, and role-based courses aligned with how we work every day - in sales, operations, service, administration, and support.Thank you for investing your time in training. Your commitment to learning and improvement is an important part of keeping Scott Electric strong, responsive, and customer-focused.",Quote to Cash Work Flow At SE Electrical Distribution,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,3,S002.  Quote to Cash Work Flow At SE Electrical Distribution,S002. Quote to Cash Work Flow At SE Electrical Distribution,S002,Quote to Cash Work Flow At SE Electrical Distribution,S002.png,,S003,,,,,This site is a typical Quote to cache representation in what is called a workflow,This site is a typical Quote to cache representation in what is called a workflow,This site is a typical Quote to cache representation in what is called a workflow This outlines the various steps performed by various swim lanes if you will or functional groups and provides a overall picture of how we end up serving our customers and continuing to keep our creed of customer comes first ,Pictorial representation of Quote to Cash,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,4,S003.  Pictorial representation of  Quote to Cash  - At SE Electrical Distribution,S003. Pictorial representation of Quote to Cash - At SE Electrical Distribution,S003,Pictorial representation of Quote to Cash,S003.png,,M1,,,,,"This is the master slide for the Order to Pick process within the Quote to Cash Work Flow. It should be noted that these steps are performed by the Sales Personnel. The input to this starts when the customer indicates that they are ready accept a previously given quote or they send us a Purchase Order (PO) or they call into our sales force who always eager to assist them, the next step is S1. Where the sales person initiates / creates a new sales order by going to the menu, selecting sales , entry and sales order ",,,Sales Order to Pick SOP,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,5,M1.  Sales Order  to Pick SOP - At SE Electrical Distribution,M1. Sales Order to Pick SOP - At SE Electrical Distribution,M1,Sales Order to Pick SOP,M1.png,,S1,,,,,"The first step in the process of initiating a sales order this then leads to the next step which is an SOP in its own right ""Enter Sales Order SOP""",,,Initiate Sales order,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,6,S1. Initiate Sales order - Sales Order  to Pick SOP,S1. Initiate Sales order - Sales Order to Pick SOP,S1,Initiate Sales order,S1.png,,S2,,,,,"This is a SOP in itself as there are many ways to enter lines in a sales order starting with easy line entry, Shopping list entry etc",,,Enter Order Lines,,,01_Enter Stock Customer Sales Order,https://scottelectricusa.uap.infor.com/#/content/1b2f0b1b-3da4-431c-8fe4-742678a6b891?contextId=a1856482-743b-42ae-9935-0b1dd402a198,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,7,S2. Enter Order Lines  - Sales Order  to Pick SOP,S2. Enter Order Lines - Sales Order to Pick SOP,S2,Enter Order Lines,S2.png,,D1,,,,,Then decision needs to be taken if this order or customer has any Add on charges etc that need to be processed at this time. The quest that is asked is Are their no Add on's a yes answer indicated that there are no add on and No answer indicates that there are add ons,,,No  - Add-on ?- Sales Order to Pick SOP,,,Add Items Using Easy Line Entry,https://scottelectricusa.uap.infor.com/#/content/7969a0f7-c09a-48bf-b76a-6a81b23472b0?contextId=d8a3b962-08bf-4d5f-bdaa-cd31b1159dc8,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,8,D1. No   - Add-on ?Sales Order  to Pick SOP,"D1. No ""Add-on's"" - Sales Order to Pick SOP",D1,No  - Add-on ?- Sales Order to Pick SOP,D1.png,Are there no Add on to add to this order?,Y1,N1,,,,The user has Selected Yes to indicate that there are no Add ons to be processed for this order ,,,Yes There are no add on for this order,"No, There are ""Add on"" to add",,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,9,Y1.  Yes - No Need  for  - Add-on ?Sales Order  to Pick SOP,"Y1. Yes - No Need for ""Add-on's"" - Sales Order to Pick SOP",Y1,Yes There are no add on for this order,Y1.png,,S3,,,,,Since all other information has been entered prior to this step it is time to check the totals and review the  Taxes ,,,Review Taxes and Totals,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,10,S3. Review Taxes and Totals  - Sales Order  to Pick SOP,S3. Review Taxes and Totals - Sales Order to Pick SOP,S3,Review Taxes and Totals,S3.png,,D2,,,,,A decision has to be made whether this order is to billed on Account or if there is situation that it would be tendered or on Cash on Delivery basis. Hence the question No COD or Tendering needs to be asked and answered. A yes would indicate that this is not a tendered or COD sale. A no on the other hand would indicate that this order has to be processed as a tendered or COD Sale.,,,No COD tendering ?,,,"02_Review Taxes, Totals, Payments for Stock Customer Sales Order",https://scottelectricusa.uap.infor.com/#/content/2c01fcf6-0aac-4a6d-9dfe-d97f89ba9a22?contextId=18854d62-7553-4002-8b0f-5364ebb21ad0,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,11,D2. No COD tendering ? - Sales Order  to Pick SOP,D2. No COD tendering ? - Sales Order to Pick SOP,D2,No COD tendering ?,D2.png,"This is an ""On Account Customer"" SO there is NO COD or Tendering ",Y2,N2,,,, Yes  - no COD Tendering,,,"Yes ""no COD Tendering""","No, This is a COD or Tendering Order",,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,12,Y2. Yes  - no COD Tendering  - Sales Order  to Pick SOP,"Y2. Yes ""no COD Tendering"" - Sales Order to Pick SOP",Y2,"Yes ""no COD Tendering""",Y2.png,,S4,,,,, Finish Sales Order ,,,Finish Sales Order,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,13,S4. Finish Sales Order - Sales Order  to Pick SOP,S4. Finish Sales Order - Sales Order to Pick SOP,S4,Finish Sales Order,S4.png,,D3,,,,,Decision if this is a blanket or Fulfillment order,,,Is it a blanket or Fulfillment Order ?,,,01_Enter Stock Customer Sales Order,https://scottelectricusa.uap.infor.com/#/content/1b2f0b1b-3da4-431c-8fe4-742678a6b891?contextId=a1856482-743b-42ae-9935-0b1dd402a198,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,14,D3. Is it a blanket or Fulfillment Order ? - Sales Order  to Pick SOP,D3. Is it a blanket or Fulfillment Order ? - Sales Order to Pick SOP,D3,Is it a blanket or Fulfillment Order ?,D3.png,Is this a blanket or Fulfillment Order?,Y3,N3,,,,Yes this is a fulfillment order,,,"Yes, it is a Blanket or Fulfillment Order","No , it is not a Blanket or Fulfillment Order",,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,15,"Y3. Yes, it is a Blanket or Fulfillment Order  - Sales Order  to Pick SOP","Y3. Yes, it is a Blanket or Fulfillment Order - Sales Order to Pick SOP",Y3,"Yes, it is a Blanket or Fulfillment Order",Y3.png,,S5,,,,,Create Blanket or Fulfillment order,,,Create Blanket or Fulfillment Order,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,16,S5. Create Blanket or Fulfillment Order  - Sales Order  to Pick SOP,S5. Create Blanket or Fulfillment Order - Sales Order to Pick SOP,S5,Create Blanket or Fulfillment Order,S5.png,,D4,,,,,Is the sale order on hold,,,Sales order on hold ?,,,01_Create a Blanket Order,https://scottelectricusa.uap.infor.com/#/content/eaababd2-d936-4c5e-b198-e33cd1c78a22?contextId=1117d5a4-031c-40fd-bc51-f8d6bb1f1345,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,17,D4. Sales order on hold ? - Sales Order  to Pick SOP,D4. Sales order on hold ? - Sales Order to Pick SOP,D4,Sales order on hold ?,D4.png,Is this Sales Order on Hold ?,Y4,N4,,,,Yes sales order is on hold ,,,"Yes , Sales Order is on Hold","No , Sales Order is not on Hold",,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,18,Y4. Sales Order is on Hold - Sales Order  to Pick SOP,Y4. Sales Order is on Hold - Sales Order to Pick SOP,Y4,Sales Order is on Hold,Y4.png,,S6,,,,,Notify credit department to talk to customer and take action ,,,Notification sent to Credit,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,19,S6. Notification sent to Credit - Sales Order  to Pick SOP,S6. Notification sent to Credit - Sales Order to Pick SOP,S6,Notification sent to Credit,S6.png,,D5,,,,,Was credit restored ?,,,Was Credit Restored or COD or CC accepted?,,,04_Perform a Credit Review on a Customer Account,https://scottelectricusa.uap.infor.com/#/content/52486252-2948-4c5f-8ca3-d7435dd8a83d?contextId=94586b48-a69c-438f-93ba-67e06e605c3c,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,20,D5. Was Credit Restored or COD or CC accepted? - Sales Order  to Pick SOP,D5. Was Credit Restored or COD or CC accepted? - Sales Order to Pick SOP,D5,Was Credit Restored or COD or CC accepted?,D5.png,Was the Customer's Credit restored or did they accept one of the alternate options presented,Y5,N5,,,,Yes credit was  restored or COD or Cc terms were accepted by Customer for this order,,,"Yes, Credit Restored or COD or CC was accepted?",No Credit was not restored and customer did not avail options presented,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,21,"Y5.  Yes,  Credit Restored or COD or CC  was accepted? - Sales Order  to Pick SOP","Y5. Yes, Credit Restored or COD or CC was accepted - Sales Order to Pick SOP",Y5,"Yes, Credit Restored or COD or CC was accepted?",Y5.png,,S7,,,,,Print customer Acknowledgement and Pick ticket,,,Print Customer Acknowledgement and Pick Ticket,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,22,S7. Print Customer Acknowledgement and Pick Ticket - Sales Order  to Pick SOP,S7. Print Customer Acknowledgement and Pick Ticket - Sales Order to Pick SOP,S7,Print Customer Acknowledgement and Pick Ticket,S7.png,,S8,,,,,Proceed to pick to Invoice SOP ,,,Proceed to the Pick to Invoice SOP,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,23,S8. Proceed to the Pick to Invoice SOP - Sales Order  to Pick SOP,S8. Proceed to the Pick to Invoice SOP - Sales Order to Pick SOP,S8,Proceed to the Pick to Invoice SOP,S8.png,,N5,,,,,No customer did not take any options presented ,,,No Customer did not take any of the options presented,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,24,N5. No Customer did not take any of the options presented- Sales Order  to Pick SOP,N5. No Customer did not take any of the options presented- Sales Order to Pick SOP,N5,No Customer did not take any of the options presented,N5.png,,S9,,,,,Cancel order ,,,Cancel order inform Sales and update Reason code,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,25,S9. Cancel order inform Sales and update Reason code - Sales Order  to Pick SOP,S9. Cancel order inform Sales and update Reason code - Sales Order to Pick SOP,S9,Cancel order inform Sales and update Reason code,S9.png,,N4,,,,,No sales order is not on hold ,,,"No, Sales order is not on hold",,,01_Release Credit Hold,https://scottelectricusa.uap.infor.com/#/content/36146b68-e229-4061-b6fa-f1f65ea83cab?contextId=94586b48-a69c-438f-93ba-67e06e605c3c,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,26,"N4. No, Sales order is not on hold - Sales Order  to Pick SOP","N4. No, Sales order is not on hold - Sales Order to Pick SOP",N4,"No, Sales order is not on hold",N4.png,,N3,,,,,No this is not a blanket or fulfillment order ,,,"No, Not a Blanket or Fulfillment Order",,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,27,"N3. No, Not a Blanket or Fulfillment Order- Sales Order  to Pick SOP","N3. No, Not a Blanket or Fulfillment Order- Sales Order to Pick SOP",N3,"No, Not a Blanket or Fulfillment Order",N3.png,,N2,,,,,This is a COD or tendering order,,,"No, This is a COD or Tendering Order",,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,28,"N2. No, This is a COD or Tendering Order - Sales Order  to Pick SOP","N2. No, This is a COD or Tendering Order - Sales Order to Pick SOP",N2,"No, This is a COD or Tendering Order",N2.png,,S10,,,,,Collect payment ,,,Collect Payment via CC or other,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,29,S10. Collect Payment via CC or other - Sales Order  to Pick SOP,S10. Collect Payment via CC or other - Sales Order to Pick SOP,S10,Collect Payment via CC or other,S10.png,,N1,,,,,No there are Add -on's that must entered now,,,"No, There are ""Add on"" to add",,,22_Run Credit Card Receive on Account,https://scottelectricusa.uap.infor.com/#/content/d964514c-4f60-4a5f-813f-d4be679cca6a?contextId=fd6bc02c-2152-4cbc-a528-70405e9ba64b,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,30,"N1. No, There are  - Add onÄù to add  - Sales Order  to Pick SOP","N1. No, There are ""Add on"" to add - Sales Order to Pick SOP",N1,"No, There are ""Add on"" to add",N1.png,,S11,,,,,"Add ""Add ons""",,,Add Add-on's to the Sales order,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,31,S11. Add Add-on's to the Sales order - Sales Order  to Pick SOP,S11. Add Add-on's to the Sales order - Sales Order to Pick SOP,S11,Add Add-on's to the Sales order,S11.png,,S999,,,,,You have successfully completed the module Order to pick SOP,,,You have successfully completed this SOP,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
SE_SLS_Ord2Pick_251121_1354.pptx,32,S999. You have successfully completed this SOP,S999. You have successfully completed this SOP,S999,You have successfully completed this SOP,S999.png,,,,,,,,,,,,,,,,,SE,Sales,Ord2Pick,Ord2Pick,SOP/images/SE/Sales/Ord2Pick
