Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,Narr1,Narr2,Narr3,OPM_Step,Source_Title_used,Disp_next1,Disp_next2,Disp_next3,UAP Label,UAP url,Start Here
PPS_Service_StrtUp_251123_1434.pptx,1,| S000. Opening Slide for PPS – Service – Generator Startup Deck,S000. Opening Slide for PPS - Service - Generator Startup Deck,S000,Opening Slide for PPS,/images/StartUp/S000.png,,S001,,PM-selected,About Palco Power Systems and Scott Electric and a Welcome to Training Add Lines Add Startup Notes Assigned Tech Performs. Set Sold by Palco Is Original Order Known No Gen. Set Not sold by Palco. C:\Users\scottuser\Documents\SonetLumier\Input\SE_SLS_Enter_line_Opt2_112025_1211.pptx Opening Slide for PPS Order Enquiry Using Serial Number Order Number is known Original Sale Order Not Known. For each method write a words on what this leans best for and a disclaimer that each user can. Choose their own way Palco Power Systems Perform Order Enquiry Pictorial representation of Quote to Cash similar to Service to. Pick ticket Register Unit Schedule startup Shipping Feed back Verify Payment Status Yes Gen. Set Sold by Palco You have successfully completed this SOP.,About Palco Power Systems and Scott Electric and a Welcome to Training Add Lines Add Startup Notes Assigned Tech Performs Start Create Chargeable SRO Create New Unit Create Startup Incident Customer Calls For Start Up Generator Startup Genset Sold by Palco Is Original Order Known No Gen Set Not sold by Palco — C:\Users\scottuser\Documents\SonetLumier\Input\SE_SLS_Enter_line_Opt2_112025_1211.pptx Opening Slide for PPS Order Enquiry Using Serial Number Order Number is known Original Sale Order Not Known — For each method write a words on what this leans best for and a disclaimer that each user can choose their own way Palco Power Systems Perform Order Enquiry Pictorial representation of Quote to Cash similar to Service to Cash Print Pick ticket Register Unit Schedule startup Shipping Feed back Verify Payment Status Yes Genset Sold by Palco You have successfully completed this SOP,PM,PM-selected,About Palco Power Systems and Scott Electric and a Welcome to Training,,,,,Yes
PPS_Service_StrtUp_251123_1434.pptx,2,S001. About Palco Power Systems and Scott Electric and  a Welcome to Training,S001. About Palco Power Systems and Scott Electric and a Welcome to Training,S001,About Palco Power Systems and Scott Electric and a Welcome to Training,/images/StartUp/S001.png,,S002,,About Palco Power Systems And Scott Electric And A Welcome To Training,About Palco Power Systems and Scott Electric and a Welcome to Training.,About Palco Power Systems and Scott Electric and a Welcome to Training,P1,Startup About Palco Power Systems And Scott Electric And A Welcome To Training,Palco Power Systems,,,,,No
PPS_Service_StrtUp_251123_1434.pptx,3,S002.  Palco Power Systems – Service to Cash Work Flow,S002. Palco Power Systems - Service to Cash Work Flow,S002,Palco Power Systems,/images/StartUp/S002.png,,S003,,Palco Power Systems,Palco Power Systems.,Palco Power Systems,P17,Startup Palco Power Systems,Pictorial representation of Quote to Cash similar to Service to Cash,,,,,No
PPS_Service_StrtUp_251123_1434.pptx,4,S003.  Pictorial representation of  Quote to Cash similar to Service to Cash   - At PPS Service,S003. Pictorial representation of Quote to Cash similar to Service to Cash - At PPS Service,S003,Pictorial representation of Quote to Cash similar to Service to Cash,/images/StartUp/S003.png,,M1,,Pictorial Representation Of Quote To Cash Similar To Service To Cash,Pictorial representation of Quote to Cash similar to Service to Cash.,Pictorial representation of Quote to Cash similar to Service to Cash,P19,Startup Pictorial Representation Of Quote To Cash Similar To Service To Cash,Generator Startup,,,,,No
PPS_Service_StrtUp_251123_1434.pptx,5,M1. Generator Startup - At PPS Service,M1. Generator Startup - At PPS Service,M1,Generator Startup,/images/StartUp/M1.png,,S1,,Generator Startup,Generator Startup.,Generator Startup,P9,Startup Generator Startup,Customer Calls For Start Up,,,,,No
PPS_Service_StrtUp_251123_1434.pptx,6,S1. Customer Calls For Start Up– Startup SOP,S1. Customer Calls For Start Up- Startup SOP,S1,Customer Calls For Start Up,/images/StartUp/S1.png,,D1,,Customer Calls For Start Up,Customer Calls For Start Up.,Customer Calls For Start Up,P8,Startup Customer Calls For Start Up,Genset Sold by Palco,,,,,No
PPS_Service_StrtUp_251123_1434.pptx,7,D1. Genset Sold by Palco – Startup SOP,D1. Genset Sold by Palco - Startup SOP,D1,Genset Sold by Palco,/images/StartUp/D1.png,Was the Generator sold through Palco?,Y1,S5,Genset Sold By Palco,Gen. Set Sold by Palco.,Genset Sold by Palco,P10,Startup Genset Sold By Palco,Yes Genset Sold by Palco,"No, Genset was not sold by Palco",,,,No
PPS_Service_StrtUp_251123_1434.pptx,8,Y1. Yes Genset Sold by Palco – Startup SOP,Y1. Yes Genset Sold by Palco - Startup SOP,Y1,Yes Genset Sold by Palco,/images/StartUp/Y1.png,,D2,,Yes Genset Sold By Palco,Yes Gen. Set Sold by Palco.,Yes Genset Sold by Palco,P25,Startup Yes Genset Sold By Palco,Is Original Order Known,,,,,No
PPS_Service_StrtUp_251123_1434.pptx,9,D2. Is Original Order Known– Startup SOP,D2. Is Original Order Known- Startup SOP,D2,Is Original Order Known,/images/StartUp/D2.png,In the Original Order number known,Y2,N2,Is Original Order Known,Is Original Order Known.,Is Original Order Known,P11,Startup Is Original Order Known,Order Number is known,No the Original Sales order is not Known,,,,No
PPS_Service_StrtUp_251123_1434.pptx,10,Y2. Order Number is known– Startup SOP,Y2. Order Number is known- Startup SOP,Y2,Order Number is known,/images/StartUp/Y2.png,,S2,,Order Number Is Known,Order Number is known.,Order Number is known,P15,Startup Order Number Is Known,Perform Order Enquiry,,,,,No
PPS_Service_StrtUp_251123_1434.pptx,11,S2. Perform Order Enquiry – Startup SOP,S2. Perform Order Enquiry - Startup SOP,S2,Perform Order Enquiry,/images/StartUp/S2.png,,S3,,Perform Order Enquiry,Perform Order Enquiry.,Perform Order Enquiry,P18,Startup Perform Order Enquiry,Verify Payment Status,,,01_Order Inquiry,https://scottelectricusa.uap.infor.com/#/content/34c69ec2-473e-408c-b4ac-ca2d8f3da53d?contextId=677cdca2-0d11-473d-8841-348a363b3d1e,No
PPS_Service_StrtUp_251123_1434.pptx,12,S3. Verify Payment Status – Startup SOP,S3. Verify Payment Status - Startup SOP,S3,Verify Payment Status,/images/StartUp/S3.png,,S4,,Verify Payment Status,Verify Payment Status.,Verify Payment Status,P24,Startup Verify Payment Status,Create Startup Incident,,,"02_Review Taxes, Totals, Payments ",https://scottelectricusa.uap.infor.com/#/content/400caab5-7e35-448a-be7c-909185738de7?contextId=75e632cb-d762-4392-8959-2fbb9f6b8135,No
PPS_Service_StrtUp_251123_1434.pptx,13,S4. Create Startup Incident – Startup SOP,S4. Create Startup Incident - Startup SOP,S4,Create Startup Incident,/images/StartUp/S4.png,,S8,,Create Incident,Create Startup Incident.,Create Startup Incident,P7,Startup Create Startup Incident,Add Startup Notes,,,04_Create a Start Up Incident (not Published),,No
PPS_Service_StrtUp_251123_1434.pptx,14,S8. Add Startup Notes– Startup SOP,S8. Add Startup Notes- Startup SOP,S8,Add Startup Notes,/images/StartUp/S8.png,,S9,,Add Notes,Add Startup Notes.,Add Startup Notes,P3,Startup Add Startup Notes,Add Lines,,,05_Add Start Up Notes,https://scottelectricusa.uap.infor.com/#/content/df93e4ab-0e8b-4df6-abe8-267fdd49903f?contextId=677cdca2-0d11-473d-8841-348a363b3d1e,No
PPS_Service_StrtUp_251123_1434.pptx,15,S9. Add Lines– Startup SOP,S9. Add Lines- Startup SOP,S9,Add Lines,/images/StartUp/S9.png,,S10,,Add Lines,Add Lines.,Add Lines,P2,Startup Add Lines,Schedule startup,,,06_Add Line,https://scottelectricusa.uap.infor.com/#/content/82ed7343-6770-4287-a84b-48f2dc253e44?contextId=677cdca2-0d11-473d-8841-348a363b3d1e,No
PPS_Service_StrtUp_251123_1434.pptx,16,S10. Schedule startup – Startup SOP,S10. Schedule startup - Startup SOP,S10,Schedule startup,/images/StartUp/S10.png,,S11,,Schedule Startup,Schedule startup.,Schedule startup,P22,Startup Schedule Startup,Print Pick ticket,,,11_Schedule Service (not Published),,No
PPS_Service_StrtUp_251123_1434.pptx,17,S11. Print Pick ticket– Startup SOP,S11. Print Pick ticket- Startup SOP,S11,Print Pick ticket,/images/StartUp/S11.png,,S12,,Print Pick Ticket,Print. Pick ticket.,Print Pick ticket,P20,Startup Print Pick Ticket,Shipping Feed back,,,02_Print Pick Ticket (not published),,No
PPS_Service_StrtUp_251123_1434.pptx,18,S12. Shipping Feed back – Startup SOP,S12. Shipping Feed back - Startup SOP,S12,Shipping Feed back,/images/StartUp/S12.png,,S13,,Shipping Feed Back,Shipping Feed back.,Shipping Feed back,P23,Startup Shipping Feed Back,Assigned Tech Performs Start,,,03_Shipping Feedback for Start Up,https://scottelectricusa.uap.infor.com/#/content/e046d76e-0ee2-4771-ae37-f9758c1bce84?contextId=677cdca2-0d11-473d-8841-348a363b3d1e,No
PPS_Service_StrtUp_251123_1434.pptx,19,S13. Assigned Tech Performs Start-up– Startup SOP,S13. Assigned Tech Performs Start-up- Startup SOP,S13,Assigned Tech Performs Start,/images/StartUp/S13.png,,S14,,Assigned Tech Performs Start,Assigned Tech Performs Start.,Assigned Tech Performs Start,P4,Startup Assigned Tech Performs Start,Register Unit,,,07_Schedule (not Published),,No
PPS_Service_StrtUp_251123_1434.pptx,20,S14. Register Unit– Startup SOP,S14. Register Unit- Startup SOP,S14,Register Unit,/images/StartUp/S14.png,,S5,,Register Unit,Register Unit.,Register Unit,P21,Startup Register Unit,Order Enquiry Using Serial Number,,,08_Register Unit,https://scottelectricusa.uap.infor.com/#/content/44897267-c9a9-4ab1-854a-14b2054b8547?contextId=677cdca2-0d11-473d-8841-348a363b3d1e,No
PPS_Service_StrtUp_251123_1434.pptx,21,S5. Order Enquiry Using Serial Number– Startup SOP,S5. Order Enquiry Using Serial Number- Startup SOP,S5,Order Enquiry Using Serial Number,/images/StartUp/S5.png,,S6,,Order Enquiry Using Serial Number,Order Enquiry Using Serial Number.,Order Enquiry Using Serial Number,P14,Startup Order Enquiry Using Serial Number,Create New Unit,,,09_Order Inquiry Using a Serial Number,https://scottelectricusa.uap.infor.com/#/content/b2be844f-cc50-4661-a4c1-8b36f22cc2dd?contextId=677cdca2-0d11-473d-8841-348a363b3d1e,No
PPS_Service_StrtUp_251123_1434.pptx,22,S6. Create New Unit – Startup SOP,S6. Create New Unit - Startup SOP,S6,Create New Unit,/images/StartUp/S6.png,,S7,,Create New Unit,Create New Unit.,Create New Unit,P6,Startup Create New Unit,Create Chargeable SRO,,,01_Create a Customer Unit,https://scottelectricusa.uap.infor.com/#/content/f3b2d09a-1e39-41e8-a89e-7b3ba81ab293?contextId=2e9fbecd-89f5-4dca-b67e-80f665d0944c,No
PPS_Service_StrtUp_251123_1434.pptx,23,S7. Create Chargeable SRO – Startup SOP,S7. Create Chargeable SRO - Startup SOP,S7,Create Chargeable SRO,/images/StartUp/S7.png,,N2,,Create Chargeable SRO,Create Chargeable SRO.,Create Chargeable SRO,P5,Startup Create Chargeable SRO,Original Sale Order Not Known,,,04_Quick Create SRO,https://scottelectricusa.uap.infor.com/#/content/116036b4-ca1f-4c52-9ca5-544f66d3ee29?contextId=3a4b3dad-96fe-4694-a768-791383f32e32,No
PPS_Service_StrtUp_251123_1434.pptx,24,N1. We did not sell the Generator Known – Startup SOP,N1. Did we sell the Generator - Startup SOP,N2,Original Sale Order Not Known,/images/StartUp/N2.png,,N2,,We did not sell the Generator Known – Startup SOP,,,,,Original Sale Order Not Known,,,,,No
PPS_Service_StrtUp_251123_1434.pptx,25,N2. Original Sale Order Not Known – Startup SOP,N2. Original Sale Order Not Known - Startup SOP,N2,Original Sale Order Not Known,/images/StartUp/N2.png,,S3,, Original Sale Order Not Known – Startup SOP,,,,,No Sales order is not known,,,,,No
PPS_Service_StrtUp_251123_1434.pptx,27,S999. You have successfully completed this SOP,S999. You have successfully completed this SOP,S999,You have successfully completed this SOP,/images/StartUp/S999.png,,,,You Have Successfully Completed This SOP,You have successfully completed this SOP.,You have successfully completed this SOP,P26,Startup You Have Successfully Completed This SOP,,,,,,No
