Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,Narr1,Narr2,Narr3,OPM_Step,Source_Title_used,,Disp_next1,Disp_next2,Disp_next3,UAP url,UAP Label
PPS_Service_Warranty102525_1706.pptx,1,S00. Introduction  slide for deck for the warranty processing,S00. Introduction slide for deck for the warranty processing,S00,Introduction slide for deck for the warranty processing,/images/Warranty/S00.png,,M1,,PM-selected,Service Orders. Change Operations. Click On SRO Transactions To Navigate To Service Order transactions. Change Operation 10 or Trouble Service Parts to Operaction 40 for Warranty Parts. Change Operation 20 or Trouble Service Labor to Operaction 50 for Warranty Labor. Click The. Save (Disk) Invoicing in ISM. Choose the SRO you are billing. Click billing. Click. Set oper stat to invoice. Click Order invoicing. Click Process. Click Ok. Exit out of order invoiving. Click SX.e inquiry to view your SRO in CSD in shipped stage Service Orders. Change Working Status. On General Use Pull Down In Working Status And. Click On Possible Warranty. Click The. Save (Disk) Service Orders Customer Bill Override. Click On SRO Operations To Navigate To Service Order Operations. Select Operation 40 For Parts Warranty. Click On Customer Override. Enter 4499 Into Customer Override And Hit The Key. Enter Submittal Authorization # Into Submittal Authorization Number. Click The. Save (Disk). Click Line 5 Of Listed Operations To. Select Operation 50 for Warranty Labor. Enter 4499 Into Customer Override And Hit The Key. Enter Submittal Authorization # Into Submittal Authorization Number. Click The. Save (Disk) Service Orders. Filter Working Status. Use Pull Down In Working Status And. Click On Possible Warranty. Click. Filter In Place Warranty Claim Reconciliation. Mark Accepted. Drop Down In Claim Status And. Select Submitted. Click. Apply. Filter At Bottom Of Service Order. Enter The Amount Paid Into The Total Paid Column. Click. Mark Accepted Warranty Claim Reconciliation. Mark Reconciled. Drop Down In Claim Status And. Select To Be Reconciled. Click. Apply. Filter At Bottom Of Service Order. Click. Mark Reconciled Service Order. Select The SRO Processed As A Warranty And. Click SX.e Inquiry Order Inquiry. Drill Into The Order By Clicking The Arrow CSD. Search. Search Apece For Vendor Invoice C. Enter Vendor Invoice C. Enter. Click Vendor Invoice C. Enter. Type apeiswc In Group And. Select It. Click. Search.,From The Service Orders Screen Change Operations — Click On SRO Transactions Button To Navigate To Service Order transactions Screen Change Operation 10 or Trouble Service Parts to Operaction 40 for Warranty Parts Change Operation 20 or Trouble Service Labor to Operaction 50 for Warranty Labor Click The Save Icon (Disk) Invoicing in ISM — Choose the SRO you are billing Click billing Click Set oper stat to invoice Click Order invoicing Click Process Click Ok Exit out of order invoiving Click SX.e inquiry to view your SRO in CSD in shipped stage From The Service Orders Screen Change Working Status — On General Tab Use Pull Down Menu In Working Status Field And Click On Possible Warranty Click The Save Icon (Disk) From The Service Orders Screen Customer Bill Override — Click On SRO Operations Button To Navigate To Service Order Operations Screen Select Operation 40 For Parts Warranty Click On Customer Override Tab Enter 4499 Into Customer Override Field And Hit The Tab Key Enter Submittal Authorization # Into Submittal Authorization Number Field Click The Save Icon (Disk) Click Line 5 Of Listed Operations To Select Operation 50 for Warranty Labor Enter 4499 Into Customer Override Field And Hit The Tab Key Enter Submittal Authorization # Into Submittal Authorization Number Field Click The Save Icon (Disk) From The Service Orders Screen Filter Working Status — Use Pull Down Menu In Working Status Field And Click On Possible Warranty Click Filter In Place Funnel Icon From The Warranty Claim Reconciliation Screen Mark Accepted — Use The Drop Down Menu In Claim Status Field And Select Submitted Click Apply Filter Button At Bottom Of Service Order Section Enter The Amount Paid Into The Total Paid Column Click Mark Accepted From The Warranty Claim Reconciliation Screen Mark Reconciled — Use The Drop Down Menu In Claim Status Field And Select To Be Reconciled Click Apply Filter Button At Bottom Of Service Order Section Click Mark Reconciled From The Service Order Screen Select The SRO Processed As A Warranty And Click SX.e Inquiry Button From The Order Inquiry Screen Drill Into The Order By Clicking The Arrow From The CSD Search Field Search Apece For Vendor Invoice Center Vendor Invoice Center — Click Vendor Invoice Center Type apeiswc In Group And Select It Click Search,PM,PM-selected,,Warranty Process,,,,
PPS_Service_Warranty102525_1706.pptx,2,M1. Warranty Process – PPS Service ISM,M1. Warranty Process - PPS Service ISM,M1,Warranty Process,/images/Warranty/M1.png,,S1,,PM-selected,Service Orders. Change Operations. Click On SRO Transactions To Navigate To Service Order transactions. Change Operation 10 or Trouble Service Parts to Operaction 40 for Warranty Parts. Change Operation 20 or Trouble Service Labor to Operaction 50 for Warranty Labor. Click The. Save (Disk) Invoicing in ISM. Choose the SRO you are billing. Click billing. Click. Set oper stat to invoice. Click Order invoicing. Click Process. Click Ok. Exit out of order invoiving. Click SX.e inquiry to view your SRO in CSD in shipped stage Service Orders. Change Working Status. On General Use Pull Down In Working Status And. Click On Possible Warranty. Click The. Save (Disk) Service Orders Customer Bill Override. Click On SRO Operations To Navigate To Service Order Operations. Select Operation 40 For Parts Warranty. Click On Customer Override. Enter 4499 Into Customer Override And Hit The Key. Enter Submittal Authorization # Into Submittal Authorization Number. Click The. Save (Disk). Click Line 5 Of Listed Operations To. Select Operation 50 for Warranty Labor. Enter 4499 Into Customer Override And Hit The Key. Enter Submittal Authorization # Into Submittal Authorization Number. Click The. Save (Disk) Service Orders. Filter Working Status. Use Pull Down In Working Status And. Click On Possible Warranty. Click. Filter In Place Warranty Claim Reconciliation. Mark Accepted. Drop Down In Claim Status And. Select Submitted. Click. Apply. Filter At Bottom Of Service Order. Enter The Amount Paid Into The Total Paid Column. Click. Mark Accepted Warranty Claim Reconciliation. Mark Reconciled. Drop Down In Claim Status And. Select To Be Reconciled. Click. Apply. Filter At Bottom Of Service Order. Click. Mark Reconciled Service Order. Select The SRO Processed As A Warranty And. Click SX.e Inquiry Order Inquiry. Drill Into The Order By Clicking The Arrow CSD. Search. Search Apece For Vendor Invoice C. Enter Vendor Invoice C. Enter. Click Vendor Invoice C. Enter. Type apeiswc In Group And. Select It. Click. Search.,From The Service Orders Screen Change Operations — Click On SRO Transactions Button To Navigate To Service Order transactions Screen Change Operation 10 or Trouble Service Parts to Operaction 40 for Warranty Parts Change Operation 20 or Trouble Service Labor to Operaction 50 for Warranty Labor Click The Save Icon (Disk) Invoicing in ISM — Choose the SRO you are billing Click billing Click Set oper stat to invoice Click Order invoicing Click Process Click Ok Exit out of order invoiving Click SX.e inquiry to view your SRO in CSD in shipped stage From The Service Orders Screen Change Working Status — On General Tab Use Pull Down Menu In Working Status Field And Click On Possible Warranty Click The Save Icon (Disk) From The Service Orders Screen Customer Bill Override — Click On SRO Operations Button To Navigate To Service Order Operations Screen Select Operation 40 For Parts Warranty Click On Customer Override Tab Enter 4499 Into Customer Override Field And Hit The Tab Key Enter Submittal Authorization # Into Submittal Authorization Number Field Click The Save Icon (Disk) Click Line 5 Of Listed Operations To Select Operation 50 for Warranty Labor Enter 4499 Into Customer Override Field And Hit The Tab Key Enter Submittal Authorization # Into Submittal Authorization Number Field Click The Save Icon (Disk) From The Service Orders Screen Filter Working Status — Use Pull Down Menu In Working Status Field And Click On Possible Warranty Click Filter In Place Funnel Icon From The Warranty Claim Reconciliation Screen Mark Accepted — Use The Drop Down Menu In Claim Status Field And Select Submitted Click Apply Filter Button At Bottom Of Service Order Section Enter The Amount Paid Into The Total Paid Column Click Mark Accepted From The Warranty Claim Reconciliation Screen Mark Reconciled — Use The Drop Down Menu In Claim Status Field And Select To Be Reconciled Click Apply Filter Button At Bottom Of Service Order Section Click Mark Reconciled From The Service Order Screen Select The SRO Processed As A Warranty And Click SX.e Inquiry Button From The Order Inquiry Screen Drill Into The Order By Clicking The Arrow From The CSD Search Field Search Apece For Vendor Invoice Center Vendor Invoice Center — Click Vendor Invoice Center Type apeiswc In Group And Select It Click Search,PM,PM-selected,,Tech Marks Service call as possible warranty,,,,
PPS_Service_Warranty102525_1706.pptx,3,S1. Tech Marks Service call as possible warranty – Warranty Process,S1. Tech Marks Service call as possible warranty - Warranty Process,S1,Tech Marks Service call as possible warranty,/images/Warranty/S1.png,,S2,,OPM Change Working Status Monday Dot Com Tim,Service Orders. Change Working Status. On General Use Pull Down In Working Status And. Click On Possible Warranty. Click The. Save (Disk).,From The Service Orders Screen Change Working Status — On General Tab Use Pull Down Menu In Working Status Field And Click On Possible Warranty Click The Save Icon (Disk),P3,OPM Change Working Status Monday Dot Com Tim,,Tech Filter Working status,,,,
PPS_Service_Warranty102525_1706.pptx,4,S2. Tech Filter Working status – Warranty Process,S2. Tech Filter Working status - Warranty Process,S2,Tech Filter Working status,/images/Warranty/S2.png,,S3,,OPM Filter Working Status Monday Dot Com Tim,Service Orders. Filter Working Status. Use Pull Down In Working Status And. Click On Possible Warranty. Click. Filter In Place.,From The Service Orders Screen Filter Working Status — Use Pull Down Menu In Working Status Field And Click On Possible Warranty Click Filter In Place Funnel Icon,P5,OPM Filter Working Status Monday Dot Com Tim,,Warranty Specialist submits Warranty to Vendor,,,https://scottelectricusa.uap.infor.com/#/content/73e0931c-23fa-4e88-8f2a-2b5f85cbae06?contextId=7759920f-dcd8-4077-a43d-0ab583055602,01_Filter Working Status
PPS_Service_Warranty102525_1706.pptx,5,S3. Warranty Specialist submits Warranty to Vendor – Warranty Process,S3. Warranty Specialist submits Warranty to Vendor - Warranty Process,S3,Warranty Specialist submits Warranty to Vendor,/images/Warranty/S3.png,,D1,,,,,,,,Was the warranty submission accepted,,,,
PPS_Service_Warranty102525_1706.pptx,6,D1. Was the warranty submission accepted – Warranty Process,D1. Was the warranty submission accepted - Warranty Process,D1,Was the warranty submission accepted,/images/Warranty/D1.png,Was the Warranty Accepted by the Vendor?,Y1,N1,OPM Mark Accepted For New Monday Dot Com Tim,Warranty Claim Reconciliation. Mark Accepted. Drop Down In Claim Status And. Select Submitted. Click. Apply. Filter At Bottom Of Service Order. Enter The Amount Paid Into The Total Paid Column. Click. Mark Accepted.,From The Warranty Claim Reconciliation Screen Mark Accepted — Use The Drop Down Menu In Claim Status Field And Select Submitted Click Apply Filter Button At Bottom Of Service Order Section Enter The Amount Paid Into The Total Paid Column Click Mark Accepted,P6,OPM Mark Accepted For New Monday Dot Com Tim,,"Yes, Warranty submission was accepted","No, Warranty submission was accepted",,,
PPS_Service_Warranty102525_1706.pptx,7,"Y1. Yes, Warranty submission was accepted– Warranty Process","Y1. Yes, Warranty submission was accepted- Warranty Process",Y1,"Yes, Warranty submission was accepted",/images/Warranty/Y1.png,,S5,,OPM Mark Accepted For New Monday Dot Com Tim,Warranty Claim Reconciliation. Mark Accepted. Drop Down In Claim Status And. Select Submitted. Click. Apply. Filter At Bottom Of Service Order. Enter The Amount Paid Into The Total Paid Column. Click. Mark Accepted.,From The Warranty Claim Reconciliation Screen Mark Accepted — Use The Drop Down Menu In Claim Status Field And Select Submitted Click Apply Filter Button At Bottom Of Service Order Section Enter The Amount Paid Into The Total Paid Column Click Mark Accepted,P6,OPM Mark Accepted For New Monday Dot Com Tim,,Change working Status,,,,
PPS_Service_Warranty102525_1706.pptx,8,S5. Change working Status – Warranty Process,S5. Change working Status - Warranty Process,S5,Change working Status,/images/Warranty/S5.png,,S6,,OPM Change Working Status Monday Dot Com Tim,Service Orders. Change Working Status. On General Use Pull Down In Working Status And. Click On Possible Warranty. Click The. Save (Disk).,From The Service Orders Screen Change Working Status — On General Tab Use Pull Down Menu In Working Status Field And Click On Possible Warranty Click The Save Icon (Disk),P3,OPM Change Working Status Monday Dot Com Tim,,Change Operation,,,https://scottelectricusa.uap.infor.com/#/content/0bf0352c-4071-4ff4-a1d8-b2fb272b3726?contextId=7759920f-dcd8-4077-a43d-0ab583055602,03_Change Working Status
PPS_Service_Warranty102525_1706.pptx,9,S6. Change Operation – Warranty Process,S6. Change Operation - Warranty Process,S6,Change Operation,/images/Warranty/S6.png,,S7,,CC04 CHANGE OPERATIONS TS,Service Orders. Change Operations. Click On SRO Transactions To Navigate To Service Order transactions. Change Operation 10 or Trouble Service Parts to Operaction 40 for Warranty Parts. Change Operation 20 or Trouble Service Labor to Operaction 50 for Warranty Labor. Click The. Save (Disk).,From The Service Orders Screen Change Operations — Click On SRO Transactions Button To Navigate To Service Order transactions Screen Change Operation 10 or Trouble Service Parts to Operaction 40 for Warranty Parts Change Operation 20 or Trouble Service Labor to Operaction 50 for Warranty Labor Click The Save Icon (Disk),P1,CC04 CHANGE OPERATIONS TS,,Override Customer Billing,,,,04_Change Operations
PPS_Service_Warranty102525_1706.pptx,10,S7. Override Customer Billing  – Warranty Process,S7. Override Customer Billing - Warranty Process,S7,Override Customer Billing,/images/Warranty/S7.png,,S8,,OPM Customer Bill Override Monday Dot Com Tim (1),Service Orders Customer Bill Override. Click On SRO Operations To Navigate To Service Order Operations. Select Operation 40 For Parts Warranty. Click On Customer Override. Enter 4499 Into Customer Override And Hit The Key. Enter Submittal Authorization # Into Submittal Authorization Number. Click The. Save (Disk). Click Line 5 Of Listed Operations To. Select Operation 50 for Warranty Labor. Enter 4499 Into Customer Override And Hit The Key. Enter Submittal Authorization # Into Submittal Authorization Number. Click The. Save (Disk).,From The Service Orders Screen Customer Bill Override — Click On SRO Operations Button To Navigate To Service Order Operations Screen Select Operation 40 For Parts Warranty Click On Customer Override Tab Enter 4499 Into Customer Override Field And Hit The Tab Key Enter Submittal Authorization # Into Submittal Authorization Number Field Click The Save Icon (Disk) Click Line 5 Of Listed Operations To Select Operation 50 for Warranty Labor Enter 4499 Into Customer Override Field And Hit The Tab Key Enter Submittal Authorization # Into Submittal Authorization Number Field Click The Save Icon (Disk),P4,OPM Customer Bill Override Monday Dot Com Tim (1),,ISM Invoicing process,,,,05_Customer Bill Override
PPS_Service_Warranty102525_1706.pptx,11,S8. ISM Invoicing process – Warranty Process,S8. ISM Invoicing process - Warranty Process,S8,ISM Invoicing process,/images/Warranty/S8.png,,S9,,Invoicing In ISM TS,Invoicing in ISM. Choose the SRO you are billing. Click billing. Click. Set oper stat to invoice. Click Order invoicing. Click Process. Click Ok. Exit out of order invoiving. Click SX.e inquiry to view your SRO in CSD in shipped stage.,Invoicing in ISM — Choose the SRO you are billing Click billing Click Set oper stat to invoice Click Order invoicing Click Process Click Ok Exit out of order invoiving Click SX.e inquiry to view your SRO in CSD in shipped stage,P2,Invoicing In ISM TS,,Mark SRO as accepted,,,https://scottelectricusa.uap.infor.com/#/content/b539bad4-8c0f-4c8b-a2b3-466457eb1fc4?contextId=7759920f-dcd8-4077-a43d-0ab583055602,06_ISM Invoice
PPS_Service_Warranty102525_1706.pptx,12,S9. Mark SRO as accepted – Warranty Process,S9. Mark SRO as accepted - Warranty Process,S9,Mark SRO as accepted,/images/Warranty/S9.png,,S10,,OPM Mark Accepted For New Monday Dot Com Tim,Warranty Claim Reconciliation. Mark Accepted. Drop Down In Claim Status And. Select Submitted. Click. Apply. Filter At Bottom Of Service Order. Enter The Amount Paid Into The Total Paid Column. Click. Mark Accepted.,From The Warranty Claim Reconciliation Screen Mark Accepted — Use The Drop Down Menu In Claim Status Field And Select Submitted Click Apply Filter Button At Bottom Of Service Order Section Enter The Amount Paid Into The Total Paid Column Click Mark Accepted,P6,OPM Mark Accepted For New Monday Dot Com Tim,,Mark SRO as being reconciled,,,https://scottelectricusa.uap.infor.com/#/content/fe24f25b-4da2-47a0-8345-042945ac2cdc?contextId=7759920f-dcd8-4077-a43d-0ab583055602,07_Mark Accepted
PPS_Service_Warranty102525_1706.pptx,13,S10. Mark SRO as being reconciled – Warranty Process,S10. Mark SRO as being reconciled - Warranty Process,S10,Mark SRO as being reconciled,/images/Warranty/S10.png,,S11,,OPM Mark Reconciled For New Monday Dot Com Tim,Warranty Claim Reconciliation. Mark Reconciled. Drop Down In Claim Status And. Select To Be Reconciled. Click. Apply. Filter At Bottom Of Service Order. Click. Mark Reconciled.,From The Warranty Claim Reconciliation Screen Mark Reconciled — Use The Drop Down Menu In Claim Status Field And Select To Be Reconciled Click Apply Filter Button At Bottom Of Service Order Section Click Mark Reconciled,P7,OPM Mark Reconciled For New Monday Dot Com Tim,,Mark SRO as being reconciled,,,,08_Mark Reconciled
PPS_Service_Warranty102525_1706.pptx,14,S11. Mark SRO as being reconciled – Warranty Process,S11. Mark SRO as being reconciled - Warranty Process,S11,Use the Vendor invoicing Center,/images/Warranty/S11.png,,N1,,OPM Mark Reconciled For New Monday Dot Com Tim,Warranty Claim Reconciliation. Mark Reconciled. Drop Down In Claim Status And. Select To Be Reconciled. Click. Apply. Filter At Bottom Of Service Order. Click. Mark Reconciled.,From The Warranty Claim Reconciliation Screen Mark Reconciled — Use The Drop Down Menu In Claim Status Field And Select To Be Reconciled Click Apply Filter Button At Bottom Of Service Order Section Click Mark Reconciled,P7,OPM Mark Reconciled For New Monday Dot Com Tim,,"No, Warranty submission was accepted",,,https://scottelectricusa.uap.infor.com/#/content/845d13c7-e52b-4e7f-9dbf-29ee52613d3a?contextId=7759920f-dcd8-4077-a43d-0ab583055602,09_Vendor Invoice Center
PPS_Service_Warranty102525_1706.pptx,15,"N1. No, Warranty submission was accepted– Warranty Process","N1. No, Warranty submission was accepted- Warranty Process",N1,"No, Warranty submission was accepted",/images/Warranty/N1.png,,S4,,OPM Mark Accepted For New Monday Dot Com Tim,Warranty Claim Reconciliation. Mark Accepted. Drop Down In Claim Status And. Select Submitted. Click. Apply. Filter At Bottom Of Service Order. Enter The Amount Paid Into The Total Paid Column. Click. Mark Accepted.,From The Warranty Claim Reconciliation Screen Mark Accepted — Use The Drop Down Menu In Claim Status Field And Select Submitted Click Apply Filter Button At Bottom Of Service Order Section Enter The Amount Paid Into The Total Paid Column Click Mark Accepted,P6,OPM Mark Accepted For New Monday Dot Com Tim,,SRO is treated as billable and processed as per SRO sop,,,,
PPS_Service_Warranty102525_1706.pptx,16,S4. SRO is treated as billable and processed as per SRO sop – Warranty Process,S4. SRO is treated as billable and processed as per SRO sop - Warranty Process,S4,SRO is treated as billable and processed as per SRO sop,/images/Warranty/S4.png,,S99,,OPM Vendor Invoice Center For New Monday Dot Com Tim,Service Order. Select The SRO Processed As A Warranty And. Click SX.e Inquiry Order Inquiry. Drill Into The Order By Clicking The Arrow CSD. Search. Search Apece For Vendor Invoice C. Enter Vendor Invoice C. Enter. Click Vendor Invoice C. Enter. Type apeiswc In Group And. Select It. Click. Search.,From The Service Order Screen Select The SRO Processed As A Warranty And Click SX.e Inquiry Button From The Order Inquiry Screen Drill Into The Order By Clicking The Arrow From The CSD Search Field Search Apece For Vendor Invoice Center Vendor Invoice Center — Click Vendor Invoice Center Type apeiswc In Group And Select It Click Search,P8,OPM Vendor Invoice Center For New Monday Dot Com Tim,,Exit to a Different SOP - Service Request Order,,,https://scottelectricusa.uap.infor.com/#/content/116036b4-ca1f-4c52-9ca5-544f66d3ee29?contextId=3a4b3dad-96fe-4694-a768-791383f32e32,04_Quick Create SRO
PPS_Service_Warranty102525_1706.pptx,17,S99.. Exit – You have come to the end of the path selected in the – Warranty Process,S99.. Exit - You have come to the end of the path selected in the - Warranty Process,S99,. Exit,/images/Warranty/S99.png,,,,PM-selected,Service Orders. Change Operations. Click On SRO Transactions To Navigate To Service Order transactions. Change Operation 10 or Trouble Service Parts to Operaction 40 for Warranty Parts. Change Operation 20 or Trouble Service Labor to Operaction 50 for Warranty Labor. Click The. Save (Disk) Invoicing in ISM. Choose the SRO you are billing. Click billing. Click. Set oper stat to invoice. Click Order invoicing. Click Process. Click Ok. Exit out of order invoiving. Click SX.e inquiry to view your SRO in CSD in shipped stage Service Orders. Change Working Status. On General Use Pull Down In Working Status And. Click On Possible Warranty. Click The. Save (Disk) Service Orders Customer Bill Override. Click On SRO Operations To Navigate To Service Order Operations. Select Operation 40 For Parts Warranty. Click On Customer Override. Enter 4499 Into Customer Override And Hit The Key. Enter Submittal Authorization # Into Submittal Authorization Number. Click The. Save (Disk). Click Line 5 Of Listed Operations To. Select Operation 50 for Warranty Labor. Enter 4499 Into Customer Override And Hit The Key. Enter Submittal Authorization # Into Submittal Authorization Number. Click The. Save (Disk) Service Orders. Filter Working Status. Use Pull Down In Working Status And. Click On Possible Warranty. Click. Filter In Place Warranty Claim Reconciliation. Mark Accepted. Drop Down In Claim Status And. Select Submitted. Click. Apply. Filter At Bottom Of Service Order. Enter The Amount Paid Into The Total Paid Column. Click. Mark Accepted Warranty Claim Reconciliation. Mark Reconciled. Drop Down In Claim Status And. Select To Be Reconciled. Click. Apply. Filter At Bottom Of Service Order. Click. Mark Reconciled Service Order. Select The SRO Processed As A Warranty And. Click SX.e Inquiry Order Inquiry. Drill Into The Order By Clicking The Arrow CSD. Search. Search Apece For Vendor Invoice C. Enter Vendor Invoice C. Enter. Click Vendor Invoice C. Enter. Type apeiswc In Group And. Select It. Click. Search.,From The Service Orders Screen Change Operations — Click On SRO Transactions Button To Navigate To Service Order transactions Screen Change Operation 10 or Trouble Service Parts to Operaction 40 for Warranty Parts Change Operation 20 or Trouble Service Labor to Operaction 50 for Warranty Labor Click The Save Icon (Disk) Invoicing in ISM — Choose the SRO you are billing Click billing Click Set oper stat to invoice Click Order invoicing Click Process Click Ok Exit out of order invoiving Click SX.e inquiry to view your SRO in CSD in shipped stage From The Service Orders Screen Change Working Status — On General Tab Use Pull Down Menu In Working Status Field And Click On Possible Warranty Click The Save Icon (Disk) From The Service Orders Screen Customer Bill Override — Click On SRO Operations Button To Navigate To Service Order Operations Screen Select Operation 40 For Parts Warranty Click On Customer Override Tab Enter 4499 Into Customer Override Field And Hit The Tab Key Enter Submittal Authorization # Into Submittal Authorization Number Field Click The Save Icon (Disk) Click Line 5 Of Listed Operations To Select Operation 50 for Warranty Labor Enter 4499 Into Customer Override Field And Hit The Tab Key Enter Submittal Authorization # Into Submittal Authorization Number Field Click The Save Icon (Disk) From The Service Orders Screen Filter Working Status — Use Pull Down Menu In Working Status Field And Click On Possible Warranty Click Filter In Place Funnel Icon From The Warranty Claim Reconciliation Screen Mark Accepted — Use The Drop Down Menu In Claim Status Field And Select Submitted Click Apply Filter Button At Bottom Of Service Order Section Enter The Amount Paid Into The Total Paid Column Click Mark Accepted From The Warranty Claim Reconciliation Screen Mark Reconciled — Use The Drop Down Menu In Claim Status Field And Select To Be Reconciled Click Apply Filter Button At Bottom Of Service Order Section Click Mark Reconciled From The Service Order Screen Select The SRO Processed As A Warranty And Click SX.e Inquiry Button From The Order Inquiry Screen Drill Into The Order By Clicking The Arrow From The CSD Search Field Search Apece For Vendor Invoice Center Vendor Invoice Center — Click Vendor Invoice Center Type apeiswc In Group And Select It Click Search,PM,PM-selected,,Thank you for walking the path choose Menu or exit,,,,
